STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,COUNTYNAME,FATALS,young,old,drink,truck,old_car
53,Washington,530011,0,0,2,2,0,4,4,53,0,NOT APPLICABLE,1,January,2,2,7,Saturday,2021,12,12:00pm-12:59pm,29,29,SR-702,8TH AVE,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,53,53,46.93731667,46.93731667,-122.4423944,-122.4423944,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,1,Daylight,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,PIERCE (53),2,1,0,0,0,1
53,Washington,530012,0,0,3,3,0,4,4,5,0,NOT APPLICABLE,1,January,7,7,5,Thursday,2021,22,10:00pm-10:59pm,51,51,I-82,,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,860,860,46.22353333,46.22353333,-119.6734667,-119.6734667,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,BENTON (5),1,0,0,1,0,0
53,Washington,530013,1,1,1,1,0,1,1,53,0,NOT APPLICABLE,1,January,17,17,1,Sunday,2021,21,9:00pm-9:59pm,14,14,CR-KEY PENINSULA HWY SW,,4,County Road,1,Rural,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,63,63,47.25771944,47.25771944,-122.7648583,-122.7648583,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,PIERCE (53),1,0,0,0,0,0
53,Washington,530014,0,0,1,1,0,2,2,1,0,NOT APPLICABLE,1,January,18,18,2,Monday,2021,6,6:00am-6:59am,55,55,I-90,,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,2295,2295,47.21461667,47.21461667,-118.2149278,-118.2149278,38,Fence,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,3,Dark - Lighted,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,ADAMS (1),1,1,0,0,0,0
53,Washington,530015,0,0,2,2,0,3,3,45,0,NOT APPLICABLE,1,January,15,15,6,Friday,2021,13,1:00pm-1:59pm,41,41,SR-3,,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,38,38,47.21763056,47.21763056,-123.0819667,-123.0819667,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,MASON (45),1,0,0,0,0,1
53,Washington,530016,0,0,1,1,0,1,1,41,0,NOT APPLICABLE,1,January,1,1,6,Friday,2021,10,10:00am-10:59am,0,0,CR-N FORK RD,,4,County Road,1,Rural,5,Major Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,7,7,46.60853333,46.60853333,-122.8513639,-122.8513639,24,Guardrail Face,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),LEWIS (41),1,0,0,0,1,0
53,Washington,530018,1,1,1,1,0,3,3,53,0,NOT APPLICABLE,1,January,1,1,6,Friday,2021,16,4:00pm-4:59pm,51,51,CR-160TH ST E,58TH AVE E,4,County Road,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,3,3,47.11095556,47.11095556,-122.35205,-122.35205,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,PIERCE (53),1,0,0,0,0,0
53,Washington,530020,0,0,1,1,0,1,1,11,240,CAMAS,1,January,22,22,6,Friday,2021,12,12:00pm-12:59pm,27,27,SR-14,,3,State Highway,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,121,121,45.580525,45.580525,-122.4345667,-122.4345667,25,Concrete Traffic Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,3,On Median,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),CLARK (11),1,0,0,0,0,0
53,Washington,530021,0,0,1,1,0,1,1,53,0,NOT APPLICABLE,1,January,9,9,7,Saturday,2021,7,7:00am-7:59am,33,33,CR-224TH ST E,,4,County Road,2,Urban,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,66,66,47.05268056,47.05268056,-122.2590222,-122.2590222,34,Ditch,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,4,Dawn,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),PIERCE (53),1,0,0,0,1,0
53,Washington,530022,1,1,1,1,0,1,1,67,1590,OLYMPIA,1,January,7,7,5,Thursday,2021,0,0:00am-0:59am,49,49,I-5 RAMP,,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,1,1,47.03620278,47.03620278,-122.8780667,-122.8780667,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,20,Entrance/Exit Ramp,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),THURSTON (67),1,1,0,0,0,0
53,Washington,530023,1,1,1,1,0,2,2,33,1960,SEATTLE,1,January,24,24,1,Sunday,2021,19,7:00pm-7:59pm,23,23,I-5,,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,1731,1731,47.71375278,47.71375278,-122.3270417,-122.3270417,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),KING (33),1,0,0,0,0,0
53,Washington,530024,1,1,1,1,0,1,1,33,1960,SEATTLE,1,January,22,22,6,Friday,2021,17,5:00pm-5:59pm,38,38,SR-519,S MASSACHUSETTS ST,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,47.58827222,47.58827222,-122.3290639,-122.3290639,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,3,T-Intersection,1,On Roadway,0,None,6,Dark - Unknown Lighting,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,KING (33),1,1,0,0,0,1
53,Washington,530025,0,0,2,2,0,3,3,77,2400,WAPATO,1,January,1,1,6,Friday,2021,16,4:00pm-4:59pm,45,45,US-97,,2,U.S. Highway,2,Urban,4,Minor Arterial,1,State Highway Agency,1,This section IS ON the NHS,3,Indian Reservation,678,678,46.43674167,46.43674167,-120.4229806,-120.4229806,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,YAKIMA (77),1,0,0,1,0,0
53,Washington,530026,0,0,2,2,0,3,3,41,0,NOT APPLICABLE,1,January,25,25,2,Monday,2021,7,7:00am-7:59am,56,56,SR-7,,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,90,90,46.66132778,46.66132778,-122.2000278,-122.2000278,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,4,Dawn,4,Snow,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,LEWIS (41),2,0,0,0,1,1
53,Washington,530028,0,0,3,3,0,3,3,33,0,NOT APPLICABLE,1,January,13,13,4,Wednesday,2021,21,9:00pm-9:59pm,34,34,I-90,,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,377,377,47.43245833,47.43245833,-121.6391722,-121.6391722,12,Motor Vehicle In-Transport,8,Sideswipe - Opposite Direction,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,KING (33),1,1,0,0,0,0
53,Washington,530030,0,0,1,1,0,1,1,33,1030,KENT,1,January,16,16,7,Saturday,2021,0,0:00am-0:59am,37,37,132ND AVE SE,,6,Local Street - Municipality,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,47.36308056,47.36308056,-122.1654278,-122.1654278,38,Fence,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),KING (33),1,1,0,0,0,0
53,Washington,530032,1,1,1,1,0,2,2,61,0,NOT APPLICABLE,1,January,22,22,6,Friday,2021,19,7:00pm-7:59pm,39,39,CR-220TH ST NW,,4,County Road,1,Rural,6,Minor Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,37,37,48.19554444,48.19554444,-122.2739806,-122.2739806,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,SNOHOMISH (61),1,0,1,0,0,0
53,Washington,530033,0,0,4,4,0,4,4,57,0,NOT APPLICABLE,2,February,2,2,3,Tuesday,2021,16,4:00pm-4:59pm,12,12,SR-20,TIBBLES LN,3,State Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,461,461,48.44827778,48.44827778,-122.5956611,-122.5956611,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,3,Intersection-Related,3,T-Intersection,1,On Roadway,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,SKAGIT (57),1,0,0,0,0,1
53,Washington,530034,0,0,2,2,0,2,2,5,0,NOT APPLICABLE,1,January,21,21,5,Thursday,2021,17,5:00pm-5:59pm,5,5,CR-ROUTE 4 S,,4,County Road,1,Rural,6,Minor Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,170,170,46.50484167,46.50484167,-119.4286028,-119.4286028,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,5,Dusk,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,BENTON (5),1,1,0,0,0,1
53,Washington,530035,1,1,2,2,0,3,3,61,0,NOT APPLICABLE,2,February,7,7,1,Sunday,2021,1,1:00am-1:59am,25,25,CR-84TH ST NE,,4,County Road,1,Rural,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99999,Unknown,48.07239167,48.07239167,-122.0340417,-122.0340417,9,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),SNOHOMISH (61),1,0,1,0,0,0
53,Washington,530036,0,0,2,2,0,2,2,27,0,NOT APPLICABLE,2,February,7,7,1,Sunday,2021,19,7:00pm-7:59pm,22,22,MOCLIPS HWY,,8,Other,1,Rural,5,Major Collector,2,County Highway Agency,0,This section IS NOT on the NHS,3,Indian Reservation,15,15,47.25812222,47.25812222,-124.1961722,-124.1961722,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,GRAYS HARBOR (27),1,0,1,0,0,0
53,Washington,530037,0,0,1,1,0,1,1,63,0,NOT APPLICABLE,1,January,4,4,2,Monday,2021,1,1:00am-1:59am,22,22,CR-S DISHMAN MICA RD,,4,County Road,1,Rural,5,Major Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,22,22,47.59050556,47.59050556,-117.2523083,-117.2523083,35,Embankment,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,6,Dark - Unknown Lighting,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,SPOKANE (63),1,0,0,1,0,0
53,Washington,530038,0,0,1,1,0,2,2,11,0,NOT APPLICABLE,1,January,31,31,1,Sunday,2021,9,9:00am-9:59am,49,49,I-5,,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,177,177,45.86395556,45.86395556,-122.7066861,-122.7066861,5,Fell/Jumped from Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),CLARK (11),1,1,0,0,0,0
